                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.87161,                 1.5639,                 1.4138,                0.71544,                0.83333,                0.86722,                0.63318,                 1.0251,                 1.7038,                 1.7612,             0.00055188,             0.00055188,             0.00055188
                     65,                0.83822,                 1.4745,                 1.4881,                0.71544,                0.83333,                0.86722,                0.63318,                 1.0251,                 1.7038,                 1.7612,             0.00053773,             0.00053773,             0.00053773
                     66,                0.90218,                 1.5759,                 1.4672,                0.79617,                0.83333,                0.86722,                0.62778,                 1.0424,                 1.6863,                 1.7557,             0.00052359,             0.00052359,             0.00052359
                     67,                0.78274,                 1.3455,                 1.3877,                0.79617,                0.83333,                0.86722,                0.62778,                 1.0424,                 1.6863,                 1.7557,             0.00050944,             0.00050944,             0.00050944
                     68,                0.78726,                 1.3991,                 1.3561,                0.81422,                0.81608,                0.85611,                0.64909,                 1.0451,                 1.6647,                 1.7639,             0.00049529,             0.00049529,             0.00049529
                     69,                0.84222,                 1.4993,                 1.4838,                0.81422,                0.81608,                0.85611,                0.64909,                 1.0451,                 1.6647,                 1.7639,             0.00048114,             0.00048114,             0.00048114
                     70,                0.87392,                 1.4962,                 1.4683,                0.82007,                0.83333,                0.85611,                0.63531,                0.99093,                 1.6454,                 1.7302,               0.000467,               0.000467,               0.000467
                     71,                0.82495,                 1.4279,                 1.3908,                0.82007,                0.83333,                0.85611,                0.63531,                0.99093,                 1.6454,                 1.7302,             0.00045285,             0.00045285,             0.00045285
                     72,                0.78611,                 1.4253,                 1.3808,                0.82171,                0.80516,                0.85929,                0.62965,                0.94284,                 1.6996,                 1.6517,              0.0004387,              0.0004387,              0.0004387
                     73,                0.83399,                 1.3885,                 1.4147,                0.82171,                0.80516,                0.85929,                0.62965,                0.94284,                 1.6996,                 1.6517,             0.00042456,             0.00042456,             0.00042456
                     74,                  0.834,                 1.4477,                 1.4111,                0.81149,                0.81224,                0.86722,                0.65139,                 0.9296,                 1.7314,                 1.6254,             0.00041041,             0.00041041,             0.00041041
                     75,                0.86684,                 1.5182,                  1.432,                0.81149,                0.81224,                0.86722,                0.65139,                 0.9296,                 1.7314,                 1.6254,             0.00039626,             0.00039626,             0.00039626
                     76,                0.80722,                 1.4443,                 1.3843,                0.79115,                0.82948,                0.84817,                0.62748,                0.90028,                 1.7278,                 1.5815,             0.00038211,             0.00038211,             0.00038211
                     77,                0.76247,                 1.2845,                 1.3858,                0.79115,                0.82948,                0.84817,                0.62748,                0.90028,                 1.7278,                 1.5815,             0.00036797,             0.00036797,             0.00036797
                     78,                0.73682,                 1.2848,                 1.3448,                0.77631,                0.83333,                0.84817,                0.64673,                0.87577,                 1.7222,                 1.5561,             0.00035382,             0.00035382,             0.00035382
                     79,                0.77461,                 1.2852,                 1.3686,                0.77631,                0.83333,                0.84817,                0.64673,                0.87577,                 1.7222,                 1.5561,             0.00033967,             0.00033967,             0.00033967
                     80,                0.81362,                 1.4259,                 1.4293,                0.79034,                0.83333,                0.85611,                0.65004,                0.87766,                 1.7046,                 1.5549,             0.00032553,             0.00032553,             0.00032553
                     81,                0.71939,                 1.3083,                 1.3239,                0.79034,                0.83333,                0.85611,                0.65004,                0.87766,                 1.7046,                 1.5549,             0.00031138,             0.00031138,             0.00031138
                     82,                0.82494,                 1.3776,                  1.395,                0.75663,                0.83333,                0.86722,                0.66303,                0.86075,                 1.6486,                 1.5353,             0.00029723,             0.00029723,             0.00029723
                     83,                0.79381,                 1.3631,                 1.4217,                0.75663,                0.83333,                0.86722,                0.66303,                0.86075,                 1.6486,                 1.5353,             0.00028308,             0.00028308,             0.00028308
                     84,                0.72597,                 1.3128,                 1.2939,                0.76062,                0.83333,                0.86722,                0.66654,                0.88078,                 1.6052,                 1.5452,             0.00026894,             0.00026894,             0.00026894
                     85,                0.77529,                 1.3233,                 1.3945,                0.76062,                0.83333,                0.86722,                0.66654,                0.88078,                 1.6052,                 1.5452,             0.00025479,             0.00025479,             0.00025479
                     86,                0.77124,                 1.3662,                 1.3741,                0.77127,                0.97131,                0.96722,                 0.7397,                0.90769,                 1.5702,                 1.5731,             0.00024064,             0.00024064,             0.00024064
