                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.58089,                 1.0461,                 1.2521,                0.96271,                      1,                  0.995,                 0.8434,                0.70833,                 1.2155,                 1.2704,             0.00029723,             0.00029723,             0.00029723
                     86,                0.55175,                 1.0115,                 1.1517,                 0.9584,                      1,                  0.995,                0.85736,                0.70289,                  1.186,                   1.27,             0.00028072,             0.00028072,             0.00028072
                     87,                0.51791,                0.97198,                 1.1197,                 0.9584,                      1,                  0.995,                0.85736,                0.70289,                  1.186,                   1.27,             0.00026422,             0.00026422,             0.00026422
                     88,                0.64917,                 1.1431,                 1.2618,                0.96562,                      1,                  0.995,                0.85736,                0.71075,                 1.1248,                 1.2987,             0.00024772,             0.00024772,             0.00024772
                     89,                0.55939,                 1.0408,                 1.2027,                0.96562,                      1,                  0.995,                0.85736,                0.71075,                 1.1248,                 1.2987,             0.00023121,             0.00023121,             0.00023121
                     90,                0.51658,                0.92999,                 1.1387,                0.97917,                      1,                  0.995,                0.85736,                0.71887,                 1.0723,                 1.3434,             0.00021471,             0.00021471,             0.00021471
                     91,                 0.5109,                 1.3283,                 1.2163,                0.97917,                      1,                  0.995,                0.85736,                0.71887,                 1.0723,                 1.3434,             0.00019821,             0.00019821,             0.00019821
                     92,                0.63307,                 1.7158,                 1.3547,                 0.9832,                      1,                  0.995,                0.84636,                0.76026,                  1.121,                 1.4047,              0.0001817,              0.0001817,              0.0001817
                     93,                0.52644,                 1.4048,                 1.2331,                 0.9832,                      1,                  0.995,                0.84636,                0.76026,                  1.121,                 1.4047,              0.0001652,              0.0001652,              0.0001652
                     94,                0.52719,                  1.438,                 1.2278,                0.97446,                      1,                  0.995,                0.79086,                0.80629,                 1.1217,                 1.4647,              0.0001487,              0.0001487,              0.0001487
                     95,                 0.4873,                 1.4669,                 1.1736,                0.97446,                      1,                  0.995,                0.79086,                0.80629,                 1.1217,                 1.4647,             0.00013219,             0.00013219,             0.00013219
                     96,                0.52764,                 1.3642,                 1.2633,                0.97322,                      1,                  0.995,                0.79114,                0.82045,                 1.1589,                 1.4795,             0.00011569,             0.00011569,             0.00011569
                     97,                  0.517,                  1.376,                 1.2268,                0.97322,                      1,                  0.995,                0.79114,                0.82045,                 1.1589,                 1.4795,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.53441,                  1.325,                 1.2405,                0.97203,                      1,                  0.995,                0.82544,                 0.8217,                 1.1734,                  1.503,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.45437,                 1.3448,                  1.136,                0.97203,                      1,                  0.995,                0.82544,                 0.8217,                 1.1734,                  1.503,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                 0.5397,                 1.4722,                 1.2169,                0.97221,                      1,                  0.995,                0.81311,                0.81218,                 1.1849,                 1.4954,             4.9677e-05,             4.9677e-05,             4.9677e-05
